participantName,participantId,age,dateExperimentStart,timeExperimentStart,blockNumber,nValue,trialNumber,letter,matchOrNotMatch,timestampLetterAppeared,timestampLetterDisappeared,isKeyPressed,note,sessionArrangement
Test,33,33,15/04/2026,14:08:26,1,3,1,W,NOT_MATCH,1776255156.0832992,1776255156.5856152,No,,ACB
Test,33,33,15/04/2026,14:08:26,1,3,2,K,NOT_MATCH,1776255158.58811,1776255159.0900018,No,,ACB
Test,33,33,15/04/2026,14:08:26,1,3,3,C,NOT_MATCH,1776255161.092569,1776255161.594404,No,,ACB
Test,33,33,15/04/2026,14:08:26,1,3,4,D,NOT_MATCH,1776255163.596849,1776255164.098624,No,,ACB
Test,33,33,15/04/2026,14:08:26,1,3,5,B,NOT_MATCH,1776255166.1003861,1776255166.602863,No,,ACB
Test,33,33,15/04/2026,14:08:26,1,3,6,V,NOT_MATCH,1776255168.6043122,1776255169.106751,No,,ACB
Test,33,33,15/04/2026,14:08:26,1,3,7,Q,NOT_MATCH,1776255171.1091452,1776255171.6109152,No,,ACB
Test,33,33,15/04/2026,14:08:26,1,3,8,P,NOT_MATCH,1776255173.6131551,1776255174.115243,No,,ACB
Test,33,33,15/04/2026,14:08:26,1,3,9,B,NOT_MATCH,1776255176.117738,1776255176.620669,Yes,,ACB
Test,33,33,15/04/2026,14:08:26,1,3,10,S,NOT_MATCH,1776255178.623337,1776255179.125393,Yes,,ACB
Test,33,33,15/04/2026,14:08:26,1,3,11,D,NOT_MATCH,1776255181.127435,1776255181.629798,No,,ACB
Test,33,33,15/04/2026,14:08:26,1,3,12,B,MATCH,1776255183.631835,1776255184.134173,Yes,,ACB
Test,33,33,15/04/2026,14:08:26,1,3,13,Z,NOT_MATCH,1776255186.1360168,1776255186.637299,No,,ACB
Test,33,33,15/04/2026,14:08:26,1,3,14,V,NOT_MATCH,1776255188.639005,1776255189.141406,No,,ACB
Test,33,33,15/04/2026,14:08:26,1,3,15,B,MATCH,1776255191.143426,1776255191.646581,Yes,,ACB
Test,33,33,15/04/2026,14:08:26,1,3,16,Z,MATCH,1776255193.64873,1776255194.1508229,No,,ACB
Test,33,33,15/04/2026,14:08:26,1,3,17,V,MATCH,1776255196.152998,1776255196.655224,No,,ACB
Test,33,33,15/04/2026,14:08:26,1,3,18,G,NOT_MATCH,1776255198.6576881,1776255199.1602392,No,,ACB
Test,33,33,15/04/2026,14:08:26,1,3,19,R,NOT_MATCH,1776255201.163006,1776255201.66467,No,,ACB
Test,33,33,15/04/2026,14:08:26,1,3,20,V,MATCH,1776255203.667058,1776255204.169164,Yes,,ACB
Test,33,33,15/04/2026,14:08:26,1,3,21,C,NOT_MATCH,1776255206.170725,1776255206.672831,No,,ACB
Test,33,33,15/04/2026,14:08:26,1,3,22,J,NOT_MATCH,1776255208.675189,1776255209.1772459,No,,ACB
Test,33,33,15/04/2026,14:08:26,1,3,23,A,NOT_MATCH,1776255211.179699,1776255211.681209,No,,ACB
Test,33,33,15/04/2026,14:08:26,1,3,24,C,MATCH,1776255213.682378,1776255214.185257,Yes,,ACB
